Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-09-11,Kerala,102255,73904,411,63,2053801.0
2020-09-12,Kerala,105140,75848,426,64,2099549.0
2020-09-13,Kerala,108279,77703,440,64,2132795.0
2020-09-14,Kerala,110819,79813,455,65,2152585.0
2020-09-15,Kerala,114034,82345,466,66,2198858.0
2020-09-16,Kerala,117864,84608,480,66,2245139.0
2020-09-17,Kerala,122215,87345,490,66,2287796.0
2020-09-18,Kerala,126382,90089,502,67,2336217.0
2020-09-19,Kerala,131026,92951,520,67,2384611.0
2020-09-20,Kerala,135722,95702,536,69,2427374.0
2020-09-21,Kerala,138632,98724,554,69,2450599.0
2020-09-22,Kerala,142757,101731,573,71,2492757.0
2020-09-23,Kerala,148133,104682,593,72,2545385.0
2020-09-24,Kerala,154457,107850,614,74,2600359.0
2020-09-25,Kerala,160934,111331,636,75,2657430.0
2020-09-26,Kerala,167940,114530,657,75,2717040.0
2020-09-27,Kerala,175385,117921,678,77,2770734.0
2020-09-28,Kerala,179923,121268,698,78,2804319.0
2020-09-29,Kerala,187277,124688,720,78,2862094.0
2020-09-30,Kerala,196107,128224,743,79,2925776.0
2020-10-01,Kerala,204242,131052,772,79,2985534.0
2020-10-02,Kerala,213500,135144,792,82,3049791.0
2020-10-03,Kerala,221334,139620,814,82,3104878.0
2020-10-04,Kerala,229887,144471,837,82,3164072.0
2020-10-05,Kerala,234929,149111,860,85,3198423.0
2020-10-06,Kerala,242800,154092,885,85,3263691.0
2020-10-07,Kerala,253406,160253,907,85,3340242.0
2020-10-08,Kerala,258851,167256,931,85,3402903.0
2020-10-09,Kerala,268101,175304,956,85,3471365.0
2020-10-10,Kerala,279856,182874,979,85,3538678.0
2020-10-11,Kerala,289203,191798,1004,85,3594320.0
2020-10-12,Kerala,295133,199634,1026,85,3628429.0
2020-10-13,Kerala,303897,207357,1047,86,3676682.0
2020-10-14,Kerala,310141,215149,1067,88,3726738.0
2020-10-15,Kerala,317930,222231,1090,92,3776892.0
2020-10-16,Kerala,325213,228998,1114,93,3828728.0
2020-10-17,Kerala,334229,236989,1140,96,3880795.0
2020-10-18,Kerala,341860,245399,1162,99,3939199.0
2020-10-19,Kerala,346882,252868,1183,100,3975798.0
2020-10-20,Kerala,353473,260243,1207,101,4029699.0
2020-10-21,Kerala,361842,267082,1233,102,4091729.0
2020-10-22,Kerala,369324,274675,1256,102,4147822.0
2020-10-23,Kerala,377835,280793,1282,102,4212611.0
2020-10-24,Kerala,386088,287261,1307,102,4280204.0
2020-10-25,Kerala,392931,294910,1333,103,4328416.0
2020-10-26,Kerala,397218,302017,1353,104,4363557.0
2020-10-27,Kerala,402675,309032,1377,105,4409750.0
2020-10-28,Kerala,411465,316692,1404,105,4476730.0
2020-10-29,Kerala,418485,325166,1430,105,4531069.0
2020-10-30,Kerala,425123,332994,1458,106,4585050.0
2020-10-31,Kerala,433106,340324,1485,107,4645049.0
2020-11-01,Kerala,440131,348835,1513,108,4695059.0
2020-11-02,Kerala,444269,355943,1534,111,4728404.0
2020-11-03,Kerala,451131,364745,1560,113,4789542.0
2020-11-04,Kerala,459647,372951,1588,113,4860812.0
2020-11-05,Kerala,466467,380650,1614,116,4922200.0
2020-11-06,Kerala,473469,388504,1641,116,4985584.0
2020-11-07,Kerala,480670,395624,1669,116,5049635.0
2020-11-08,Kerala,486110,402477,1693,117,5098433.0
2020-11-09,Kerala,489703,408460,1715,118,5130922.0
2020-11-10,Kerala,495713,415158,1743,118,5185673.0
2020-11-11,Kerala,502720,422410,1772,118,5249865.0
2020-11-12,Kerala,508257,428529,1797,118,5307067.0
2020-11-13,Kerala,514061,434730,1823,118,5365288.0
2020-11-14,Kerala,520418,441523,1849,119,5426841.0
2020-11-15,Kerala,524999,448207,1870,119,5472967.0
2020-11-16,Kerala,527709,454774,1889,121,5498108.0
2020-11-17,Kerala,533501,461394,1916,121,5554265.0
2020-11-18,Kerala,539920,468460,1944,122,5621634.0
2020-11-19,Kerala,545642,475320,1970,123,5688651.0
2020-11-20,Kerala,551670,481718,1998,123,5749016.0
2020-11-21,Kerala,557442,488437,2023,126,5809226.0
2020-11-22,Kerala,562696,494664,2050,126,5857241.0
2020-11-23,Kerala,566453,500089,2072,126,5892900.0
2020-11-24,Kerala,571873,505238,2096,127,5952883.0
2020-11-25,Kerala,578364,511008,2122,128,6018925.0
2020-11-26,Kerala,583742,516978,2149,129,6074921.0
2020-11-27,Kerala,587708,521522,2172,129,6114029.0
2020-11-28,Kerala,593958,526797,2197,130,6178012.0
2020-11-29,Kerala,599601,532658,2224,130,6227787.0
2020-11-30,Kerala,602983,538713,2245,131,6262476.0
2020-12-01,Kerala,608358,544864,2271,131,6321285.0
2020-12-02,Kerala,614674,550788,2299,132,6378278.0
2020-12-03,Kerala,620050,556378,2330,133,6438754.0
2020-12-04,Kerala,625768,561874,2359,134,6496210.0
2020-12-05,Kerala,631616,567694,2391,138,6556713.0
2020-12-06,Kerala,636393,572911,2419,139,6608606.0
2020-12-07,Kerala,639665,577616,2442,140,6642364.0
2020-12-08,Kerala,644697,582351,2473,141,6702885.0
2020-12-09,Kerala,649572,586998,2508,144,6755630.0
2020-12-10,Kerala,654042,591845,2534,148,6808399.0
2020-12-11,Kerala,658684,596593,2563,152,6861907.0
2020-12-12,Kerala,664633,601861,2595,152,6921597.0
2020-12-13,Kerala,669331,607119,2624,154,6967972.0
2020-12-14,Kerala,672038,611600,2648,154,6999865.0
2020-12-15,Kerala,677256,616666,2681,156,7056318.0
2020-12-16,Kerala,683441,622394,2708,160,7118200.0
2020-12-17,Kerala,688410,627364,2735,160,7179051.0
2020-12-18,Kerala,693866,632065,2758,163,7233523.0
2020-12-19,Kerala,700159,636814,2787,166,7293518.0
2020-12-20,Kerala,705870,641285,2817,168,7347376.0
2020-12-21,Kerala,709293,645779,2844,170,7382223.0
2020-12-22,Kerala,715342,650836,2871,171,7447052.0
2020-12-23,Kerala,721511,655644,2893,176,7508489.0
2020-12-24,Kerala,726688,660445,2915,177,7564562.0
2020-12-25,Kerala,732085,664951,2931,179,7613415.0
2020-12-26,Kerala,735612,668733,2952,179,7649001.0
2020-12-27,Kerala,740517,672196,2977,179,7695117.0
2020-12-28,Kerala,743564,676368,2991,181,7727986.0
2020-12-29,Kerala,749451,681397,3015,182,7789764.0
2020-12-30,Kerala,755719,687104,3043,182,7853651.0
2020-12-31,Kerala,760934,692480,3073,183,7911934.0
2021-01-01,Kerala,765925,697591,3096,188,7964724.0
2021-01-02,Kerala,771253,702576,3117,190,8018822.0
2021-01-03,Kerala,775853,707244,3142,193,8066113.0
2021-01-04,Kerala,778874,712389,3161,193,8099621.0
2021-01-05,Kerala,784489,717311,3185,195,8160890.0
2021-01-06,Kerala,790883,722421,3210,197,8224781.0
2021-01-07,Kerala,795934,728059,3235,197,8285394.0
2021-01-08,Kerala,801076,733384,3258,200,8344963.0
2021-01-09,Kerala,806604,738808,3280,200,8406202.0
2021-01-10,Kerala,811149,743467,3303,204,8451897.0
2021-01-11,Kerala,814259,747389,3323,205,8487178.0
2021-01-12,Kerala,819766,751659,3348,207,8551792.0
2021-01-13,Kerala,825770,756817,3374,210,8620873.0
2021-01-14,Kerala,831260,761154,3393,214,8688585.0
2021-01-15,Kerala,836884,765757,3416,219,8751519.0
2021-01-16,Kerala,842844,770768,3443,221,8816427.0
2021-01-17,Kerala,847849,775176,3464,222,8868737.0
2021-01-18,Kerala,851195,779097,3481,222,8901830.0
2021-01-19,Kerala,857381,783393,3507,226,8968089.0
2021-01-20,Kerala,864196,790757,3525,227,9029621.0
2021-01-21,Kerala,870530,796986,3546,231,9090900.0
2021-01-22,Kerala,877283,803094,3565,233,9148957.0
2021-01-23,Kerala,884243,808377,3588,234,9210023.0
2021-01-24,Kerala,890279,813550,3608,234,9258401.0
2021-01-25,Kerala,893640,819156,3625,239,9289304.0
2021-01-26,Kerala,899933,824446,3644,240,9349619.0
2021-01-27,Kerala,905592,829452,3664,246,9400749.0
2021-01-28,Kerala,911363,835046,3683,246,9459221.0
2021-01-29,Kerala,917631,841444,3705,247,9518036.0
2021-01-30,Kerala,923913,848476,3723,249,9576795.0
2021-01-31,Kerala,929179,854206,3744,250,9625913.0
2021-02-01,Kerala,932638,859421,3761,253,9659492.0
2021-02-02,Kerala,938354,865168,3777,256,9712432.0
2021-02-03,Kerala,944710,871548,3797,256,9772067.0
2021-02-04,Kerala,950812,877889,3814,256,9856074.0
2021-02-05,Kerala,956422,884542,3833,256,9948005.0
2021-02-06,Kerala,962364,890720,3849,256,10030809.0
2021-02-07,Kerala,968439,896668,3868,257,10096326.0
2021-02-08,Kerala,972181,902627,3884,260,10144253.0
2021-02-09,Kerala,977395,909102,3903,263,10214097.0
2021-02-10,Kerala,983375,914847,3921,265,10294203.0
2021-02-11,Kerala,988656,920539,3937,269,10365859.0
2021-02-12,Kerala,994053,925871,3955,270,10440267.0
2021-02-13,Kerala,999524,931706,3971,270,10526236.0
2021-02-14,Kerala,1004136,936398,3986,272,10588079.0
2021-02-15,Kerala,1007020,941471,3999,273,10627542.0
2021-02-16,Kerala,1011957,946910,4017,273,10701894.0
2021-02-17,Kerala,1016849,951742,4033,275,10771847.0
2021-02-18,Kerala,1021433,956935,4047,277,10839353.0
2021-02-19,Kerala,1025938,961789,4062,277,10906927.0
2021-02-20,Kerala,1030588,967630,4075,281,10972895.0
2021-02-21,Kerala,1034658,971975,4090,284,11030136.0
2021-02-22,Kerala,1036870,977012,4106,288,11068239.0
2021-02-23,Kerala,1040904,981835,4120,288,11137843.0
2021-02-24,Kerala,1045010,987720,4137,288,11208411.0
2021-02-25,Kerala,1048687,992372,4151,289,11271993.0
2021-02-26,Kerala,1052358,996514,4165,293,11339805.0
2021-02-27,Kerala,1056150,1001164,4183,293,11413515.0
2021-02-28,Kerala,1059404,1005497,4198,293,11476284.0
2021-03-01,Kerala,1061342,1008972,4211,295,11522279.0
2021-03-02,Kerala,1064280,1012484,4227,296,11590373.0
2021-03-03,Kerala,1067045,1016515,4242,297,11650019.0
2021-03-04,Kerala,1069661,1020671,4256,297,11713060.0
2021-03-05,Kerala,1072437,1024309,4272,298,11779163.0
2021-03-06,Kerala,1075228,1027826,4288,299,11840927.0
2021-03-07,Kerala,1077328,1031865,4301,299,11892875.0
2021-03-08,Kerala,1078740,1034895,4313,300,11931921.0
2021-03-09,Kerala,1081056,1039281,4329,300,11997827.0
2021-03-10,Kerala,1083531,1043473,4343,301,12060313.0
2021-03-11,Kerala,1085664,1047226,4356,301,12130151.0
2021-03-12,Kerala,1087444,1050603,4370,301,12182285.0
2021-03-13,Kerala,1089479,1053859,4382,303,12240629.0
2021-03-14,Kerala,1091271,1057097,4397,303,12291194.0
2021-03-15,Kerala,1092325,1060560,4408,304,12329604.0
2021-03-16,Kerala,1094295,1063444,4423,305,12390578.0
2021-03-17,Kerala,1096393,1066259,4436,308,12450771.0
2021-03-18,Kerala,1098292,1068378,4451,309,12505085.0
2021-03-19,Kerala,1100276,1070343,4468,311,12558269.0
2021-03-20,Kerala,1102354,1072554,4483,312,12617046.0
2021-03-21,Kerala,1104229,1074805,4496,312,12661721.0
2021-03-22,Kerala,1105468,1076571,4508,312,12696542.0
2021-03-23,Kerala,1107453,1078743,4518,313,12753967.0
2021-03-24,Kerala,1109909,1080803,4528,314,12810707.0
2021-03-25,Kerala,1111898,1082668,4540,314,12861734.0
2021-03-26,Kerala,1113723,1084585,4554,314,12913986.0
2021-03-27,Kerala,1115778,1086669,4568,314,12966274.0
2021-03-28,Kerala,1117994,1088522,4580,314,13013503.0
2021-03-29,Kerala,1119543,1090419,4591,314,13050880.0
2021-03-30,Kerala,1121932,1092365,4607,314,13109437.0
2021-03-31,Kerala,1124585,1094404,4622,314,13158864.0
2021-04-01,Kerala,1127383,1096239,4633,314,13213211.0
2021-04-02,Kerala,1129891,1098526,4647,315,13264994.0
2021-04-03,Kerala,1132432,1100186,4659,317,13309773.0
2021-04-04,Kerala,1135234,1102359,4669,317,13354944.0
2021-04-05,Kerala,1137591,1104225,4681,317,13395135.0
2021-04-06,Kerala,1141093,1106123,4695,317,13454186.0
2021-04-07,Kerala,1144595,1108078,4711,317,13514740.0
2021-04-08,Kerala,1148948,1110283,4729,319,13578641.0
2021-04-09,Kerala,1154011,1112758,4751,321,13641881.0
2021-04-10,Kerala,1160205,1115342,4768,321,13703838.0
2021-04-11,Kerala,1167191,1117700,4784,322,13768841.0
2021-04-12,Kerala,1172883,1120174,4795,322,13814258.0
2021-04-13,Kerala,1180398,1123133,4815,322,13887699.0
2021-04-14,Kerala,1189176,1125775,4837,323,13952957.0
2021-04-15,Kerala,1197302,1128475,4857,324,14013857.0
2021-04-16,Kerala,1207333,1132267,4878,324,14081632.0
2021-04-17,Kerala,1221168,1135921,4905,327,14162843.0
2021-04-18,Kerala,1239425,1140486,4930,327,14271741.0
2021-04-19,Kerala,1253069,1144791,4951,327,14359016.0
2021-04-20,Kerala,1272646,1148671,4979,327,14471237.0
2021-04-21,Kerala,1295060,1154102,5001,330,14593000.0
2021-04-22,Kerala,1322055,1160472,5029,332,14728177.0
2021-04-23,Kerala,1350502,1166135,5056,332,14858794.0
2021-04-24,Kerala,1377187,1173202,5081,332,14989949.0
2021-04-25,Kerala,1405656,1181324,5111,332,15116722.0
2021-04-26,Kerala,1427546,1189267,5139,332,15213100.0
2021-04-27,Kerala,1460365,1207680,5171,337,15354299.0
2021-04-28,Kerala,1495378,1223185,5212,339,15492489.0
2021-04-29,Kerala,1533985,1244301,5260,342,15650037.0
2021-04-30,Kerala,1571184,1261801,5309,345,15799524.0
2021-05-01,Kerala,1606820,1277294,5357,345,15945998.0
2021-05-02,Kerala,1638779,1293590,5406,346,16058633.0
2021-05-03,Kerala,1664790,1313109,5451,347,16154929.0
2021-05-04,Kerala,1701980,1339257,5508,347,16297517.0
2021-05-05,Kerala,1743933,1362363,5566,347,16460838.0
2021-05-06,Kerala,1786397,1389515,5629,347,16616470.0
2021-05-07,Kerala,1824857,1416177,5683,351,16760815.0
2021-05-08,Kerala,1866828,1443633,5747,351,16909361.0
2021-05-09,Kerala,1902629,1472951,5815,353,17033341.0
2021-05-10,Kerala,1930116,1504160,5880,354,17133089.0
2021-05-11,Kerala,1967406,1537138,5959,356,17272376.0
2021-05-12,Kerala,2010935,1571738,6054,358,17418696.0
2021-05-13,Kerala,2050890,1605471,6151,359,17558352.0
2021-05-14,Kerala,2085584,1636790,6244,360,17689727.0
2021-05-15,Kerala,2118264,1666232,6340,362,17812355.0
2021-05-16,Kerala,2147968,1700528,6429,363,17928337.0
2021-05-17,Kerala,2169370,1800179,6516,364,18014842.0
2021-05-18,Kerala,2200707,1846105,6613,367,18149395.0
2021-05-19,Kerala,2233469,1894518,6725,370,18289940.0
2021-05-20,Kerala,2263960,1938887,6853,374,18421465.0
2021-05-21,Kerala,2293633,1979919,6995,377,18555023.0
2021-05-22,Kerala,2322147,2025319,7171,378,18681051.0
2021-05-23,Kerala,2347967,2062635,7359,379,18794256.0
2021-05-24,Kerala,2365788,2098674,7555,384,18881587.0
2021-05-25,Kerala,2395591,2132071,7732,386,19024615.0
2021-05-26,Kerala,2424389,2167596,7883,388,19168987.0
2021-05-27,Kerala,2448555,2198135,8064,394,19304219.0
2021-05-28,Kerala,2470873,2224405,8258,395,19440287.0
2021-05-29,Kerala,2494386,2252505,8456,395,19582046.0
2021-05-30,Kerala,2514280,2281518,8642,397,19706583.0
2021-05-31,Kerala,2526580,2310043,8816,401,19795928.0
2021-06-01,Kerala,2546340,2334160,9010,406,19926522.0
2021-06-02,Kerala,2566001,2363868,9223,407,20055047.0
2021-06-03,Kerala,2584854,2390437,9376,411,20178932.0
2021-06-04,Kerala,2601083,2416297,9511,411,20288452.0
2021-06-05,Kerala,2618411,2440300,9720,415,20404806.0
2021-06-06,Kerala,2633083,2461729,9947,416,20507598.0
2021-06-07,Kerala,2642396,2483992,10158,420,20578167.0
2021-06-08,Kerala,2657963,2504011,10282,420,20688146.0
2021-06-09,Kerala,2674167,2524248,10438,421,20803168.0
2021-06-10,Kerala,2688591,2542242,10632,423,20910418.0
2021-06-11,Kerala,2702824,2557597,10805,425,21017514.0
2021-06-12,Kerala,2716656,2575769,10976,427,21126248.0
2021-06-13,Kerala,2728240,2593625,11182,434,21220925.0
2021-06-14,Kerala,2735959,2610368,11343,435,21289498.0
2021-06-15,Kerala,2748205,2623904,11509,435,21393618.0
2021-06-16,Kerala,2761475,2639593,11656,436,21506139.0
2021-06-17,Kerala,2773944,2653207,11744,437,21621033.0
2021-06-18,Kerala,2785305,2665354,11834,439,21732157.0
2021-06-19,Kerala,2797748,2678499,11949,443,21853900.0
2021-06-20,Kerala,2809395,2690958,12061,444,21961374.0
2021-06-21,Kerala,2816844,2704554,12155,446,22039227.0
2021-06-22,Kerala,2829461,2716284,12296,448,22156947.0
2021-06-23,Kerala,2842248,2729967,12446,449,22281273.0
2021-06-24,Kerala,2854326,2741436,12582,453,22397780.0
2021-06-25,Kerala,2865872,2752492,12700,454,22506647.0
2021-06-26,Kerala,2877990,2763616,12818,458,22620276.0
2021-06-27,Kerala,2888895,2775967,12880,461,22724272.0
2021-06-28,Kerala,2896958,2787496,12990,464,22809717.0
2021-06-29,Kerala,2910508,2797779,13094,465,22932942.0
2021-06-30,Kerala,2924166,2809587,13236,466,23073669.0
2021-07-01,Kerala,2937034,2821151,13360,469,23198555.0
2021-07-02,Kerala,2949129,2831394,13506,469,23318214.0
2021-07-03,Kerala,2961585,2843909,13641,472,23438111.0
2021-07-04,Kerala,2973685,2855460,13716,473,23556158.0
2021-07-05,Kerala,2981722,2866806,13818,475,23636292.0
2021-07-06,Kerala,2996094,2877557,13960,476,23768112.0
